"id","season","team_id","position","points","wins"
1,2022,1,1,"725",17
2,2022,2,2,"524",4
3,2022,3,3,"490",1
4,2022,10,4,"173",0
5,2022,4,5,"153",0
6,2022,12,6,"54",0
7,2022,7,7,"37",0
8,2022,13,8,"31",0
9,2022,5,9,"18",0
10,2022,9,10,"6",0
11,2023,1,1,"804",21
12,2023,3,2,"398",0
13,2023,2,3,"374",1
14,2023,4,4,"290",0
15,2023,5,5,"259",0
16,2023,10,6,"117",0
17,2023,9,7,"28",0
18,2023,13,8,"23",0
19,2023,12,9,"16",0
20,2023,7,10,"9",0
21,2024,4,1,"666",6
22,2024,2,2,"646",5
23,2024,1,3,"589",9
24,2024,3,4,"468",4
25,2024,5,5,"94",0
26,2024,10,6,"65",0
27,2024,7,7,"57",0
28,2024,8,8,"42",0
29,2024,9,9,"12",0
30,2024,6,10,"4",0
31,2025,4,1,"713",13
32,2025,2,2,"356",0
33,2025,3,3,"355",2
34,2025,1,4,"346",5
35,2025,9,5,"111",0
36,2025,11,6,"72",0
37,2025,5,7,"69",0
38,2025,7,8,"62",0
39,2025,6,9,"60",0
40,2025,10,10,"20",0
